comune,mese,tot_rsu
ADELFIA,2018-03-01,0.08895273966585658
ADELFIA,2018-04-01,0.10793326614665201
ADELFIA,2018-05-01,0.2625666755747897
ADELFIA,2018-06-01,0.2143087161841883
ADELFIA,2018-07-01,0.22452135801225423
ADELFIA,2018-08-01,0.15061635876275922
ADELFIA,2018-09-01,0.16272248828724706
ADELFIA,2018-10-01,0.17414679229458838
ADELFIA,2018-11-01,0.20773035062417183
ADELFIA,2018-12-01,0.18945997881735524
ADELFIA,2019-01-01,0.14390630265451798
ADELFIA,2019-02-01,0.08792188377339889
ADELFIA,2019-03-01,0.09638489213739446
ADELFIA,2019-04-01,0.09980334626236027
ADELFIA,2019-05-01,0.17030889395464366
ADELFIA,2019-06-01,0.23631618978445637
ADELFIA,2019-07-01,0.2855861902761609
ADELFIA,2019-08-01,0.2604612755229469
ADELFIA,2019-09-01,0.23024846507838895
ADELFIA,2019-10-01,0.26873059119053333
ADELFIA,2019-11-01,0.3978384117760286
ADELFIA,2019-12-01,0.46758575981688333
ADELFIA,2020-01-01,0.47715662267021924
ADELFIA,2020-02-01,0.4093122287085334
ADELFIA,2020-03-01,0.36170073118637025
ADELFIA,2020-04-01,0.28458122430665594
ADELFIA,2020-05-01,0.33733537225333227
ADELFIA,2020-06-01,0.44015622596584186
ADELFIA,2020-07-01,0.5538123425958301
ADELFIA,2020-08-01,0.5038453706701443
ADELFIA,2020-09-01,0.47259927143849484
ADELFIA,2020-10-01,0.4958849366607364
ADELFIA,2020-11-01,0.5147129688094454
ADELFIA,2020-12-01,0.5188231726200656
ADELFIA,2021-01-01,0.39286274206226973
ADELFIA,2021-02-01,0.350007082925559
ADELFIA,2021-03-01,0.2957978723112736
ADELFIA,2021-04-01,0.37701756387163754
ADELFIA,2021-05-01,0.4761037770788952
ADELFIA,2021-06-01,0.5549854202466609
ADELFIA,2021-07-01,0.5968573259701891
ADELFIA,2021-08-01,0.5247574978166127
ADELFIA,2021-09-01,0.562331261007375
ADELFIA,2021-10-01,0.5394136572723612
ADELFIA,2021-11-01,0.5974897494611393
ADELFIA,2021-12-01,0.6171972347092168
ALBEROBELLO,2014-03-01,0.585187051347329
ALBEROBELLO,2014-04-01,0.662666679718726
ALBEROBELLO,2014-05-01,0.7900966661938317
ALBEROBELLO,2014-06-01,0.8299938953474838
ALBEROBELLO,2014-07-01,0.8447013168533017
ALBEROBELLO,2014-08-01,0.8722188872755458
ALBEROBELLO,2014-09-01,0.8815364494168125
ALBEROBELLO,2014-10-01,0.8820387124676455
ALBEROBELLO,2014-11-01,0.8046355945133586
ALBEROBELLO,2014-12-01,0.7200590605792995
ALBEROBELLO,2015-01-01,0.6496429358054359
ALBEROBELLO,2015-02-01,0.6278219061971382
ALBEROBELLO,2015-03-01,0.6456648259170225
ALBEROBELLO,2015-04-01,0.712102840065433
ALBEROBELLO,2015-05-01,0.8099105886271802
ALBEROBELLO,2015-06-01,0.8446280574068591
ALBEROBELLO,2015-07-01,0.842412653645123
ALBEROBELLO,2015-08-01,0.832893773248983
ALBEROBELLO,2015-09-01,0.8422962794447981
ALBEROBELLO,2015-10-01,0.8355808167802627
ALBEROBELLO,2015-11-01,0.761839102657139
ALBEROBELLO,2015-12-01,0.7115734660135369
ALBEROBELLO,2016-01-01,0.6537724548296732
ALBEROBELLO,2016-02-01,0.5973864492156427
ALBEROBELLO,2016-03-01,0.5962689060158104
ALBEROBELLO,2016-04-01,0.6653416427565105
ALBEROBELLO,2016-05-01,0.7560076603508031
ALBEROBELLO,2016-06-01,0.794525771675095
ALBEROBELLO,2016-07-01,0.827326397187102
ALBEROBELLO,2016-08-01,0.8879363995468167
ALBEROBELLO,2016-09-01,0.8989546186057207
ALBEROBELLO,2016-10-01,0.8932364865779463
ALBEROBELLO,2016-11-01,0.818577347984861
ALBEROBELLO,2016-12-01,0.7556034045934644
ALBEROBELLO,2017-01-01,0.6847830256993713
ALBEROBELLO,2017-02-01,0.657726723604335
ALBEROBELLO,2017-03-01,0.7054646570446641
ALBEROBELLO,2017-04-01,0.7659993571716127
ALBEROBELLO,2017-05-01,0.8458651380424246
ALBEROBELLO,2017-06-01,0.857682207418853
ALBEROBELLO,2017-07-01,0.8761358813078116
ALBEROBELLO,2017-08-01,0.8991622990757473
ALBEROBELLO,2017-09-01,0.909786399910635
ALBEROBELLO,2017-10-01,0.913285305691752
ALBEROBELLO,2017-11-01,0.8893560937595404
ALBEROBELLO,2017-12-01,0.8625232356127172
ALBEROBELLO,2018-01-01,0.821422766447616
ALBEROBELLO,2018-02-01,0.7692894766814372
ALBEROBELLO,2018-03-01,0.7576767853211122
ALBEROBELLO,2018-04-01,0.795122937901038
ALBEROBELLO,2018-05-01,0.8892888417164517
ALBEROBELLO,2018-06-01,0.9084343076561107
ALBEROBELLO,2018-07-01,0.9200096572600135
ALBEROBELLO,2018-08-01,0.9319532378487113
ALBEROBELLO,2018-09-01,0.9328788707199066
ALBEROBELLO,2018-10-01,0.927656056926059
ALBEROBELLO,2018-11-01,0.884414742713428
ALBEROBELLO,2018-12-01,0.7683499515015716
ALBEROBELLO,2019-01-01,0.5397542694035726
ALBEROBELLO,2019-02-01,0.7835307069424569
ALBEROBELLO,2019-03-01,0.9227247808543901
ALBEROBELLO,2019-04-01,0.9290101035580587
ALBEROBELLO,2019-05-01,0.8946658510836201
ALBEROBELLO,2019-06-01,0.6828056864316916
