comune,mese,tot_rsu
ADELFIA,2018-09-01,28.93619232413589
ADELFIA,2018-10-01,29.229907587068766
ADELFIA,2018-11-01,29.863117045417173
ADELFIA,2018-12-01,29.50856710625843
ADELFIA,2019-01-01,28.51652579998027
ADELFIA,2019-02-01,26.86966816851383
ADELFIA,2019-03-01,27.1405926266978
ADELFIA,2019-04-01,27.21310882362614
ADELFIA,2019-05-01,29.12631302002828
ADELFIA,2019-06-01,30.351294109908906
ADELFIA,2019-07-01,31.180741276679715
ADELFIA,2019-08-01,30.77153287072056
ADELFIA,2019-09-01,30.242707271351993
ADELFIA,2019-10-01,30.918735817410465
ADELFIA,2019-11-01,32.94011247410136
ADELFIA,2019-12-01,33.998355641793005
ADELFIA,2020-01-01,34.14989969414937
ADELFIA,2020-02-01,33.0930377873516
ADELFIA,2020-03-01,32.3653106192653
ADELFIA,2020-04-01,31.15828592100503
ADELFIA,2020-05-01,31.992764823889235
ADELFIA,2020-06-01,33.53425198145164
ADELFIA,2020-07-01,35.53550169368896
ADELFIA,2020-08-01,34.601374683461046
ADELFIA,2020-09-01,34.06722136350183
ADELFIA,2020-10-01,34.44213503469596
ADELFIA,2020-11-01,34.77501891011938
ADELFIA,2020-12-01,34.855329364948865
ADELFIA,2021-01-01,32.85457296017365
ADELFIA,2021-02-01,32.18653599500115
ADELFIA,2021-03-01,31.33686322228434
ADELFIA,2021-04-01,32.59282402078469
ADELFIA,2021-05-01,34.131252672082084
ADELFIA,2021-06-01,35.56105502022561
ADELFIA,2021-07-01,36.4526589272207
ADELFIA,2021-08-01,34.96740882033742
ADELFIA,2021-09-01,35.72631302002828
ADELFIA,2021-10-01,35.27148353997435
ADELFIA,2021-11-01,36.46844476600783
ADELFIA,2021-12-01,36.854803170322626
ALBEROBELLO,2014-03-01,36.18546410355366
ALBEROBELLO,2014-04-01,37.856612393478876
ALBEROBELLO,2014-05-01,41.91351058170705
ALBEROBELLO,2014-06-01,43.58966549497773
ALBEROBELLO,2014-07-01,44.37808350630522
ALBEROBELLO,2014-08-01,46.041565404232685
ALBEROBELLO,2014-09-01,46.773189531985025
ALBEROBELLO,2014-10-01,46.82050212259969
ALBEROBELLO,2014-11-01,42.533361843271834
ALBEROBELLO,2014-12-01,39.4677437860503
ALBEROBELLO,2015-01-01,37.563224265434485
ALBEROBELLO,2015-02-01,37.134751181250195
ALBEROBELLO,2015-03-01,37.482711503760186
ALBEROBELLO,2015-04-01,39.19995201985961
ALBEROBELLO,2015-05-01,42.79264234977523
ALBEROBELLO,2015-06-01,44.373577545294296
ALBEROBELLO,2015-07-01,44.24281080178987
ALBEROBELLO,2015-08-01,43.75109780647315
ALBEROBELLO,2015-09-01,44.23445599908212
ALBEROBELLO,2015-10-01,43.856674976270696
ALBEROBELLO,2015-11-01,40.81045758451285
ALBEROBELLO,2015-12-01,39.18195946721183
ALBEROBELLO,2016-01-01,37.661385374401554
ALBEROBELLO,2016-02-01,36.46586630229575
ALBEROBELLO,2016-03-01,36.431696097962934
ALBEROBELLO,2016-04-01,37.904175315260815
ALBEROBELLO,2016-05-01,40.58346979858772
ALBEROBELLO,2016-06-01,42.11446392623576
ALBEROBELLO,2016-07-01,43.50004693709387
ALBEROBELLO,2016-08-01,47.30179508307866
ALBEROBELLO,2016-09-01,48.603454570108376
ALBEROBELLO,2016-10-01,47.85621603579736
ALBEROBELLO,2016-11-01,43.131434293283824
ALBEROBELLO,2016-12-01,40.56876284251041
ALBEROBELLO,2017-01-01,38.43634808548809
ALBEROBELLO,2017-02-01,37.750127773199964
ALBEROBELLO,2017-03-01,38.96257549049263
ALBEROBELLO,2017-04-01,41.01112930647837
ALBEROBELLO,2017-05-01,44.43472093290082
ALBEROBELLO,2017-06-01,45.05210017418877
ALBEROBELLO,2017-07-01,46.36039343715124
ALBEROBELLO,2017-08-01,48.63684248954346
ALBEROBELLO,2017-09-01,50.40734127439425
ALBEROBELLO,2017-10-01,51.02811187717085
ALBEROBELLO,2017-11-01,47.45315062634944
ALBEROBELLO,2017-12-01,45.33477225079011
ALBEROBELLO,2018-01-01,43.256604883543865
ALBEROBELLO,2018-02-01,41.149674465177895
ALBEROBELLO,2018-03-01,40.65957047343882
ALBEROBELLO,2018-04-01,42.13574207545399
ALBEROBELLO,2018-05-01,47.44495321936312
ALBEROBELLO,2018-06-01,50.15760433072919
ALBEROBELLO,2018-07-01,52.2951195852847
ALBEROBELLO,2018-08-01,55.13324919424656
ALBEROBELLO,2018-09-01,55.56053320538629
ALBEROBELLO,2018-10-01,53.71653124445882
ALBEROBELLO,2018-11-01,47.05365431351893
ALBEROBELLO,2018-12-01,41.104064752328604
ALBEROBELLO,2019-01-01,35.27910882104451
ALBEROBELLO,2019-02-01,41.70010326160651
ALBEROBELLO,2019-03-01,52.72919382933673
ALBEROBELLO,2019-04-01,54.05319537304559
ALBEROBELLO,2019-05-01,48.070593389171094
ALBEROBELLO,2019-06-01,38.37548632044476
ALBEROBELLO,2019-07-01,42.22639324940286
ALBEROBELLO,2019-08-01,44.38180718241841
ALBEROBELLO,2019-09-01,46.08136805982915
ALBEROBELLO,2019-10-01,44.53141134626016
ALBEROBELLO,2019-11-01,40.348095918558926
ALBEROBELLO,2019-12-01,38.08294306008992
ALBEROBELLO,2020-01-01,35.79729433730039
ALBEROBELLO,2020-02-01,34.20540715321311
ALBEROBELLO,2020-03-01,31.621332387637814
ALBEROBELLO,2020-04-01,29.02636821628613
ALBEROBELLO,2020-05-01,29.5868284084153
ALBEROBELLO,2020-06-01,31.709824455268954
ALBEROBELLO,2020-07-01,35.97452880372994
ALBEROBELLO,2020-08-01,25.041337602870467
ALBEROBELLO,2020-09-01,13.348837524641976
ALBEROBELLO,2020-10-01,13.061860377791454
ALBEROBELLO,2020-11-01,13.058221188447218
ALBEROBELLO,2020-12-01,24.1946687805743
ALBEROBELLO,2021-01-01,21.5893822035401
ALBEROBELLO,2021-02-01,30.945339981016552
ALBEROBELLO,2021-03-01,30.731592836356434
ALBEROBELLO,2021-04-01,31.147455487989323
ALBEROBELLO,2021-05-01,39.45178517413662
ALBEROBELLO,2021-06-01,41.22944937573666
ALBEROBELLO,2021-07-01,44.315876211237786
ALBEROBELLO,2021-08-01,44.5469005872352
ALBEROBELLO,2021-09-01,46.02917401145265
ALBEROBELLO,2021-10-01,45.109457302890284
ALBEROBELLO,2021-11-01,39.63092841571663
ALBEROBELLO,2021-12-01,37.79036850833916
ALESSANO,2014-03-01,29.690030275293946
ALESSANO,2014-04-01,30.26086038160952
ALESSANO,2014-05-01,32.15236217700486
ALESSANO,2014-06-01,33.0864958107442
ALESSANO,2014-07-01,35.321657396324724
ALESSANO,2014-08-01,39.10307681475744
ALESSANO,2014-09-01,39.18756600718158
ALESSANO,2014-10-01,37.6879884531437
ALESSANO,2014-11-01,33.34101950292192
ALESSANO,2014-12-01,30.96634513835105
ALESSANO,2015-01-01,29.813595719214245
ALESSANO,2015-02-01,28.36830247130888
ALESSANO,2015-03-01,28.547313947757512
ALESSANO,2015-04-01,29.14085052453707
ALESSANO,2015-05-01,31.50258748151799
ALESSANO,2015-06-01,34.02828627754699
ALESSANO,2015-07-01,36.95847708230655
ALESSANO,2015-08-01,41.51276138843906
ALESSANO,2015-09-01,40.1716538759417
ALESSANO,2015-10-01,37.89181862986693
ALESSANO,2015-11-01,33.010930789269864
ALESSANO,2015-12-01,31.968915017953954
ALESSANO,2016-01-01,31.36640146447933
ALESSANO,2016-02-01,30.579067802576915
ALESSANO,2016-03-01,30.84151235654439
ALESSANO,2016-04-01,31.71196226149405
ALESSANO,2016-05-01,31.81862986692952
ALESSANO,2016-06-01,34.53970992043934
ALESSANO,2016-07-01,35.87041470111948
ALESSANO,2016-08-01,40.186492290361194
ALESSANO,2016-09-01,38.659350137294936
ALESSANO,2016-10-01,37.16917200591424
ALESSANO,2016-11-01,33.02207280152081
ALESSANO,2016-12-01,31.397240019714143
ALESSANO,2017-01-01,30.102971203266915
ALESSANO,2017-02-01,29.42758572132648
ALESSANO,2017-03-01,30.66640850524537
ALESSANO,2017-04-01,31.547208336266987
ALESSANO,2017-05-01,33.16200802647328
ALESSANO,2017-06-01,33.06590157009082
ALESSANO,2017-07-01,34.5766739421249
ALESSANO,2017-08-01,37.4075899457861
ALESSANO,2017-09-01,38.07505456593677
ALESSANO,2017-10-01,36.179328310920226
ALESSANO,2017-11-01,32.78022248820671
ALESSANO,2017-12-01,31.225832570583677
ALESSANO,2018-01-01,31.48194043511934
ALESSANO,2018-02-01,29.85077096388087
ALESSANO,2018-03-01,31.0893825248187
ALESSANO,2018-04-01,31.507604027318173
ALESSANO,2018-05-01,33.4883475322115
ALESSANO,2018-06-01,34.720833626698585
ALESSANO,2018-07-01,37.333133844962326
ALESSANO,2018-08-01,42.036013518270785
ALESSANO,2018-09-01,40.34554319509963
ALESSANO,2018-10-01,38.84057945504471
ALESSANO,2018-11-01,34.46087094275857
ALESSANO,2018-12-01,33.475146095895234
ALESSANO,2019-01-01,31.773586566218405
ALESSANO,2019-02-01,29.746902062944443
ALESSANO,2019-03-01,30.340649862705057
ALESSANO,2019-04-01,30.96814053369006
ALESSANO,2019-05-01,33.279448003942825
ALESSANO,2019-06-01,35.120045060902626
ALESSANO,2019-07-01,38.33802717735689
ALESSANO,2019-08-01,41.148348940364706
ALESSANO,2019-09-01,40.806695768499615
ALESSANO,2019-10-01,38.00429486728156
ALESSANO,2019-11-01,34.52862071393368
ALESSANO,2019-12-01,33.1445821305358
ALESSANO,2020-01-01,34.06076181088502
ALESSANO,2020-02-01,33.62617052735337
ALESSANO,2020-03-01,33.821551784834185
ALESSANO,2020-04-01,33.25705836795043
ALESSANO,2020-05-01,34.715553052172076
ALESSANO,2020-06-01,30.326339505738222
ALESSANO,2020-07-01,33.63541153277476
ALESSANO,2020-08-01,37.6079877490671
ALESSANO,2020-09-01,45.58218334154756
ALESSANO,2020-10-01,43.09952122790959
ALESSANO,2020-11-01,39.08760473139478
ALESSANO,2020-12-01,38.15083081039217
ALESSANO,2021-01-01,35.98526719707104
ALESSANO,2021-02-01,34.46472576216292
ALESSANO,2021-03-01,33.04689150179539
ALESSANO,2021-04-01,32.0874111103288
ALESSANO,2021-05-01,33.456136027599804
ALESSANO,2021-06-01,33.65468562979652
ALESSANO,2021-07-01,37.71439132577625
ALESSANO,2021-08-01,40.62768429205098
ALESSANO,2021-09-01,41.28036330352742
ALESSANO,2021-10-01,35.49496585228473
ALESSANO,2021-11-01,31.23407026684503
ALESSANO,2021-12-01,28.154439202985287
ALLISTE,2014-03-01,27.946620532115023
ALLISTE,2014-04-01,28.145659768879327
ALLISTE,2014-05-01,30.262530233808114
ALLISTE,2014-06-01,30.56990728298844
ALLISTE,2014-07-01,37.164404729911304
ALLISTE,2014-08-01,43.194537758667025
ALLISTE,2014-09-01,46.27586670249933
ALLISTE,2014-10-01,41.34725208277345
ALLISTE,2014-11-01,34.36928916957806
ALLISTE,2014-12-01,30.988141628594462
ALLISTE,2015-01-01,29.24365090029562
ALLISTE,2015-02-01,27.975342649825315
ALLISTE,2015-03-01,27.396869121203974
ALLISTE,2015-04-01,27.90278151034668
ALLISTE,2015-05-01,29.96170384305294
ALLISTE,2015-06-01,33.10601988712712
ALLISTE,2015-07-01,39.7987772104273
ALLISTE,2015-08-01,49.95985622144585
ALLISTE,2015-09-01,50.52724402042461
ALLISTE,2015-10-01,45.679252889008325
ALLISTE,2015-11-01,35.578137597420046
ALLISTE,2015-12-01,32.04733270626175
